"ID","target","X20aa07010","X963a49cdc","X68a945b18","X935ca66a9","X8.61E.26","X26fc93eb7","X0572565c2","X66ace2992","fb49e4212","X6619d81fc","aca228668","X6eef030c1","bc70cbc26","fc99f9426","X7e814a30d","bd6da0cca","X1db387535","b43a7cfd5","X024c577b9","ea772e115","ad009c8b9","X2ec5b290f","X0ff32eb98","X166008929","X58e056e12","X241f0f867","cbb673163","X1931ccfdd","f02ecb19c","X58e2e02e6","X1fe5d56b9","X9fd594eec","fb0f5dbfe","X91f701ba2","ca2b906e8","X703885424","f97d9431e","X939f628a7","X62fb56487","eeb9cd3aa","X324921c7b","X58232a6fb","c0d2348b7","X491b9ee45","c8d582dd2","d6bb78916","c10f31664","X4bcf15776","X70feb1494","adb64ff71","X11e12dbe8","X9de83dc23","X62e59a501","X15ace8c9f","X5c6487af1","bb0ce54e9","f190486d6","f74e8f13d","X5d3b81ef8","X77deffdf0","c5a231d81","e176a204a","X1702b5bf0","a09a238d0","X190db8488","c47340d97","X8781e4b91","ef30f6be5","X23310aa6f"
"002dbeb22",2800000,17020000,17020000,17020000,17020000,17020000,17020000,17020000,17020000,17020000,17020000,8891333.34,0,8891333.34,17020000,8891333.34,17020000,17020000,17020000,17020000,17020000,17020000,17020000,17020000,17020000,0,17020000,17020000,17020000,17020000,0,17020000,17000000,0,17020000,17020000,17020000,17020000,8891333.34,17020000,2800000,17020000,17020000,17020000,17020000,17020000,17020000,17020000,17020000,17020000,17020000,17020000,17020000,17020000,556000,17020000,17020000,0,17020000,8891333.34,17020000,17020000,17020000,17020000,17020000,17020000,17020000,17020000,8891333.34,17020000
"03ec1414d",200000,350000,350000,300000,300000,300000,350000,350000,350000,350000,350000,685000,0,685000,350000,685000,300000,350000,350000,350000,300000,300000,350000,350000,300000,350000,350000,300000,350000,300000,17000000,300000,4000000,350000,350000,300000,350000,300000,685000,300000,5700000,350000,350000,300000,350000,300000,350000,300000,300000,350000,350000,300000,300000,350000,350000,350000,300000,0,350000,685000,300000,350000,350000,350000,300000,350000,350000,300000,685000,350000
"06cd03d09",3095200,4005500,3420000,167000,1109500,1100000,8260400,40000,0,16818666.66,3252500,819500,1859333.34,1614909.1,22134000,236857.14,500000,2090000,282333.34,1554666.66,0,4240000,3012000,547000,140000,3862000,10491200,24200000,14145000,600000,0,0,7279000,111791333.3,25100000,6880000,1448888.88,25100000,371200,3420000,1060000,11973333.34,10814666.66,2090000,450000,880000,42000,38800000,5200000,2190000,25300000,30000000,25300000,5352666.66,972000,147090.9,4400000,3530500,2286500,929600,26400000,11115200,30000000,3056888.88,0,819750,2253333.34,0,660000,23985000
"077787b5d",10814666.66,3420000,25300000,1109500,1800000,4900000,2253333.34,2300000,25100000,22134000,4870000,359750,16818666.66,2515000,0,565142.86,0,1838333.34,1448888.88,8260400,25100000,0,3252500,370000,0,147090.9,2090000,600000,11115200,244000,5352666.66,26400000,10491200,2286500,356000,0,547000,0,0,25300000,3012000,23985000,2190000,4400000,400000,140000,14145000,1100000,4400000,707000,16733333.34,0,0,30000000,0,819750,9600000,11973333.34,40000,371200,0,374000,600000,450000,4000000,922000,4900000,0,900000,0
"08c1f91b0",200000,747473.68,747473.68,1330000,1330000,1330000,747473.68,747473.68,747473.68,747473.68,747473.68,3574000,747473.68,3574000,747473.68,3574000,1330000,747473.68,747473.68,747473.68,1330000,1330000,747473.68,747473.68,1330000,747473.68,747473.68,1330000,747473.68,1330000,747473.68,1330000,747473.68,747473.68,747473.68,1330000,747473.68,1330000,3574000,1330000,747473.68,747473.68,747473.68,1330000,747473.68,1330000,747473.68,1330000,1330000,747473.68,747473.68,1330000,1330000,747473.68,747473.68,747473.68,1330000,0,747473.68,3574000,1330000,747473.68,747473.68,747473.68,1330000,747473.68,747473.68,1330000,3574000,747473.68
"08f544828",25100000,600000,35050000,1800000,0,715000,2186000,0,430000,370000,1304800,281000,547000,132200,60666.66,514666.66,0,267428.58,0,4870000,1200000,0,4900000,307000,244000,0,374000,1000000,1933333.34,65000,25300000,0,11115200,400000,400000,0,3244909.1,400000,0,0,2253333.34,922000,356000,290800,0,6532000,1838333.34,4936000,4900000,450000,406000,23600000,0,16733333.34,707000,950000,194000,819750,908000,955500,66000,528666.66,8120000,2300000,0,448666.66,609200,0,332000,380000
"0a6e926ca",11973333.34,14145000,11115200,1100000,4900000,0,547000,16733333.34,819750,40000,0,955500,2286500,404000,2300000,384000,0,356000,450000,1448888.88,1109500,25300000,22134000,908000,0,8260400,25100000,0,707000,1200000,10491200,0,0,3420000,922000,9600000,400000,1800000,532000,600000,16818666.66,3252500,23985000,0,600000,0,2190000,140000,26400000,0,374000,4400000,244000,2090000,147090.9,2253333.34,0,3012000,25300000,2400000,4000000,430000,1838333.34,30000000,0,4900000,370000,0,1359000,4870000
"0b132f2c6",500000,0,115636.36,274000,1775333.34,1775333.34,540000,1563411.76,247166.66,550000,1563411.76,1964666.66,2352551.72,1964666.66,1563411.76,1964666.66,1775333.34,1563411.76,75000,1477600,194000,332000,440000,1563411.76,1775333.34,310000,3076666.66,0,1015000,1775333.34,1359000,377333.34,280000,3513333.34,1563411.76,1775333.34,1563411.76,1775333.34,1964666.66,158000,5450500,1600000,3147200,1775333.34,1563411.76,1775333.34,1586888.88,0,440000,1563411.76,1563411.76,1775333.34,1775333.34,0,160000,834800,1775333.34,60000,296444.44,179000,1775333.34,1563411.76,1563411.76,466461.54,1775333.34,1563411.76,1563411.76,1775333.34,1964666.66,1563411.76
"0cba9fad9",5187333.34,972000,0,0,26400000,0,2286500,2090000,3012000,5352666.66,450000,2400000,0,236857.14,30000000,164000,24200000,23985000,4005500,111791333.3,5200000,13693333.34,3056888.88,25300000,25300000,1859333.34,11973333.34,167000,147090.9,1109500,3095200,11731500,3530500,7279000,3252500,880000,3420000,4400000,137000,0,20000000,282333.34,1554666.66,6880000,14145000,3420000,3862000,4240000,456000,8260400,25100000,0,25100000,10814666.66,1060000,16818666.66,500000,6814000,10491200,1637090.9,30000000,819750,2190000,42000,2090000,22134000,40000,38800000,2530000,1448888.88
"0e1920aa8",406000,5450500,440000,0,1775333.34,1775333.34,3076666.66,1563411.76,466461.54,3147200,1015000,1964666.66,500000,1964666.66,1563411.76,1964666.66,274000,1563411.76,160000,280000,941600,1800000,1586888.88,1563411.76,1775333.34,1359000,75000,377333.34,550000,1775333.34,307000,7697500,1878571.42,60000,1563411.76,158000,247166.66,1775333.34,1964666.66,440000,814800,0,3513333.34,1775333.34,834800,194000,2352551.72,260000,2793333.34,296444.44,1563411.76,0,1775333.34,1477600,12000000,0,0,528666.66,1600000,0,1775333.34,1563411.76,540000,310000,1775333.34,1563411.76,1563411.76,332000,210000,115636.36
